Date,Revenue,Units_Sold,Avg_Price,AQI,Revenue_Stationary
2018-01-01,302138.28932318924,13.105247600859165,24037.734723617792,263.389212962963,
2018-01-02,286955.0105422112,12.296417628070099,23779.277105570614,277.697268518519,-15183.278780978057
2018-01-03,273333.7628803255,10.230687449789647,23231.735946949306,219.026574074074,-13621.247661885689
2018-01-04,261178.00209172268,10.827218765089073,24371.39431261548,248.544351851852,-12155.760788602813
2018-01-05,250391.1839305932,9.928575928053345,24082.97002803836,234.199467592593,-10786.818161129486
2018-01-06,240876.7641511275,10.762405458661963,26868.319308132934,242.682962962963,-9514.41977946568
2018-01-07,232538.19850751606,10.565315546929453,25262.59631255852,196.098819444444,-8338.565643611451
2018-01-08,225278.94275394932,8.402695309833632,24315.94396835079,183.473518518519,-7259.255753566744
2018-01-09,219002.45264461773,8.306672250000384,25325.616653294826,236.794722222222,-6276.490109331586
2018-01-10,213612.18393371179,7.892618410626624,23380.227849505936,196.183587962963,-5390.268710905948
2018-01-11,209011.59237542193,7.053625368536318,24752.6718878305,166.587847222222,-4600.59155828986
2018-01-12,205104.1337239386,6.958267037358714,25573.098007819834,199.261990740741,-3907.458651483321
2018-01-13,201793.26373345233,9.00641549452753,24960.924302850683,238.486875,-3310.8699904862733
2018-01-14,198982.43815815353,8.47059531555894,24612.778209951597,208.289189814815,-2810.8255752988043
2018-01-15,196575.11275223264,7.02788557252704,26982.045022502913,207.473912037037,-2407.325405920885
2018-01-16,194474.7432698757,6.5390153986222215,26718.441898100988,164.918425925926,-2100.3694823569385
2018-01-17,191239.76410730917,7.308835653050561,25500.748078201956,241.515347222222,-3234.9791625665384
2018-01-18,188643.61299684213,9.467308539587648,25284.988817386748,289.404606481482,-2596.1511104670353
2018-01-19,182792.17183698644,10.03047200341363,25490.600881432038,265.523680555556,-5851.441159855691
2018-01-20,179627.77142945927,8.815030116847469,23588.985246133157,141.902222222222,-3164.400407527166
2018-01-21,176303.78431638883,8.159476154333202,24536.587086060477,153.567268518519,-3323.9871130704414
2018-01-22,176076.00603006347,7.605633809871121,23166.213020970077,239.947407407407,-227.77828632536693
2018-01-23,177813.7494408651,6.871148651308642,24899.367618250395,158.742592592593,1737.7434108016314
2018-01-24,175746.4746149176,5.607249611135452,25214.310414389107,123.837708333333,-2067.2748259475047
2018-01-25,172181.98643313124,4.7041397590797445,23716.553771660037,107.349189814815,-3564.4881817863497
2018-01-26,165688.74047007205,5.176824945904803,27215.763997668382,140.283472222222,-6493.245963059191
2018-01-27,160126.03694721952,6.299564027801812,26854.45942705697,195.345092592593,-5562.703522852535
2018-01-28,160796.3149584336,7.0165703563737996,26011.61151923926,168.797291666667,670.2780112140754
2018-01-29,165339.33831088635,6.467108247182674,25162.22925884228,182.49974537037,4543.0233524527575
2018-01-30,170024.92152560444,6.040741845953846,26770.54891553609,144.205486111111,4685.583214718092
2018-01-31,173009.90280774742,5.557057706274229,23257.444335478624,145.31287037037,2984.9812821429805
2018-02-01,172925.92926410184,6.662484070907724,26175.801126474893,221.498422939068,-83.97354364558123
2018-02-02,171006.95686151632,6.987217236687682,23324.339458317245,199.569645061728,-1918.9724025855248
2018-02-03,171228.63361443926,7.298403594636705,26338.660544179776,176.814274691358,221.67675292294007
2018-02-04,174051.5451494033,7.496926512694893,24004.757071794116,182.82137345679,2822.9115349640488
2018-02-05,174244.61360418203,6.559906565376575,26524.04946451659,220.904475308642,193.06845477872412
2018-02-06,173601.9505567753,6.736597045418232,27014.610238794383,195.876327160494,-642.6630474067351
2018-02-07,172624.0131785664,6.076238216510406,23434.211080582223,181.648163580247,-977.9373782088805
2018-02-08,172431.59136443437,6.719041382052787,24866.634103457032,249.769104938272,-192.42181413204526
2018-02-09,167903.52239009613,8.04885642282237,26941.652931508375,256.534907407407,-4528.068974338239
2018-02-10,164824.68883707072,11.164969539294209,24950.434327226827,267.63850308642,-3078.8335530254117
2018-02-11,167238.2231902638,10.563819908380228,26472.454352805293,207.896327160494,2413.5343531930703
2018-02-12,170853.46877412248,6.445256938947953,25439.443882124793,105.69262345679,3615.24558385869
2018-02-13,174373.82591891233,5.050108360753221,24425.470935781206,121.655231481481,3520.3571447898576
2018-02-14,175698.02451319303,3.7987227537549635,24000.212347405315,103.515972222222,1324.1985942806932
2018-02-15,175367.8343977989,3.5899759904899735,23608.14783463813,118.71799382716,-330.19011539412895
2018-02-16,173097.93343244746,4.19007160770814,26263.817241036806,149.512530864198,-2269.9009653514368
